t_s,phase,nvme_mc,nvme_c,tj_mc,tj_c,cpu_c,gpu_c,fan_rpm,fan_pwm,cpu_mhz,vdd_in_mw,sect_read,sect_written,read_mbs,write_mbs,inflight,util_pct
221,04-idle-baseline,39850,39,58562,58,58,56,2056,75,1344,5684,3161467,78344306,0.00,0.00,0,0.0
222,04-idle-baseline,39850,39,58250,58,58,56,2058,75,1344,5684,3161467,78344306,0.00,0.00,0,0.0
223,04-idle-baseline,39850,39,58343,58,58,56,2059,75,1344,5684,3161467,78344314,0.00,0.00,0,0.4
224,04-idle-baseline,39850,39,58343,58,58,56,2056,75,1267,5684,3161467,78344314,0.00,0.00,0,0.0
225,04-idle-baseline,39850,39,58531,58,58,56,2058,75,1344,5684,3161467,78344434,0.00,0.06,0,0.0
226,04-idle-baseline,39850,39,58406,58,58,56,2059,75,1344,5643,3161467,78344442,0.00,0.00,0,0.4
227,04-idle-baseline,39850,39,58281,58,58,56,2056,75,1267,5684,3161467,78344442,0.00,0.00,0,0.0
228,04-idle-baseline,39850,39,58406,58,58,56,2059,75,1344,5643,3161467,78344458,0.00,0.01,0,0.0
229,04-idle-baseline,39850,39,58281,58,58,56,2059,75,1344,5684,3161467,78344458,0.00,0.00,0,0.0
230,04-idle-baseline,39850,39,58375,58,58,56,2058,75,1344,5684,3161467,78344570,0.00,0.06,0,0.0
231,04-idle-baseline,39850,39,58281,58,58,56,2056,75,1267,5684,3161467,78344578,0.00,0.00,0,0.4
232,04-idle-baseline,39850,39,58531,58,58,56,2061,75,1344,5684,3161467,78344578,0.00,0.00,0,0.0
233,04-idle-baseline,39850,39,58343,58,58,56,2060,75,1344,5643,3161467,78344586,0.00,0.00,0,0.0
235,04-idle-baseline,39850,39,58281,58,58,56,2059,75,1344,5643,3161467,78344586,0.00,0.00,0,0.0
236,04-idle-baseline,39850,39,58500,58,58,56,2060,75,1497,5684,3161467,78344698,0.00,0.06,0,0.0
237,04-idle-baseline,39850,39,58375,58,58,56,2056,75,1267,5643,3161467,78344706,0.00,0.00,0,0.0
238,04-idle-baseline,39850,39,58468,58,58,56,2061,75,1344,5684,3161467,78344706,0.00,0.00,0,0.0
239,04-idle-baseline,39850,39,58281,58,58,56,2060,75,1344,5684,3161467,78344714,0.00,0.00,0,0.0
240,04-idle-baseline,39850,39,58437,58,58,56,2059,75,1344,5643,3161467,78344714,0.00,0.00,0,0.0
241,04-idle-baseline,39850,39,58312,58,58,56,2060,75,1267,5643,3161467,78344826,0.00,0.06,0,0.0
242,04-idle-baseline,39850,39,58500,58,58,56,2060,75,1344,5643,3161467,78344834,0.00,0.00,0,0.4
243,04-idle-baseline,39850,39,58500,58,58,56,2060,75,1497,5684,3161467,78344834,0.00,0.00,0,0.0
