t_s,cumulative_gib,write_mbs
851.4,244.970,529.1
852.4,245.232,281.5
853.4,245.370,148.0
854.4,245.498,137.2
855.4,245.626,137.6
856.4,245.749,131.3
857.4,245.883,143.9
858.4,246.011,137.8
859.4,246.143,141.7
860.4,246.465,345.4
861.4,246.979,553.0
862.4,247.341,388.4
863.4,247.551,225.1
864.4,247.673,131.3
865.4,247.802,137.9
866.4,247.930,137.6
867.4,248.053,132.0
868.4,248.184,140.6
869.4,248.311,136.3
870.4,248.466,167.1
871.4,248.961,530.8
872.4,249.444,519.4
873.4,249.691,265.2
874.4,249.831,149.8
875.4,249.964,143.5
876.4,250.093,138.3
877.4,250.216,131.6
878.4,250.350,143.9
879.4,250.478,137.4
880.4,250.612,144.2
881.4,250.945,357.4
882.4,251.488,582.6
883.4,251.847,386.4
884.4,252.041,207.5
885.4,252.163,131.5
886.4,252.297,143.4
887.4,252.426,138.4
888.4,252.554,137.6
889.4,252.682,137.6
890.4,252.801,128.1
891.4,252.966,177.4
892.4,253.485,556.8
893.4,253.972,522.5
894.4,254.228,275.5
895.4,254.356,137.8
896.4,254.485,137.8
897.4,254.612,136.8
898.4,254.736,132.4
899.4,254.864,137.9
900.4,254.994,139.5
901.4,255.136,152.3
902.4,255.517,409.1
903.4,256.044,566.2
904.4,256.356,335.6
905.4,256.525,180.9
906.4,256.647,131.5
907.4,256.776,137.8
908.4,256.904,137.6
909.4,257.027,132.0
910.4,257.161,143.7
911.4,257.283,131.3
912.4,257.501,234.5
913.4,258.007,543.2
914.4,258.459,485.5
915.4,258.695,253.5
916.4,258.828,142.9
917.4,258.957,137.6
918.4,259.085,137.8
919.4,259.213,137.6
920.4,259.340,135.5
921.4,259.464,133.4
922.4,259.610,156.5
923.4,260.048,470.3
924.4,260.591,583.3
925.4,260.878,308.2
926.4,261.038,171.7
927.4,261.167,137.6
928.4,261.298,141.4
929.4,261.423,134.0
930.4,261.551,137.5
931.4,261.683,141.2
932.4,261.814,140.5
933.4,262.138,347.6
934.4,262.684,586.3
935.4,263.038,380.5
936.4,263.231,206.6
937.4,263.365,143.9
938.4,263.491,135.8
939.4,263.615,133.4
940.4,263.745,139.3
941.4,263.828,89.1
942.4,263.953,133.7
943.4,264.153,214.3
944.4,264.687,573.6
945.4,265.129,474.3
946.4,265.317,201.9
947.4,265.445,137.6
948.4,265.572,135.9
949.4,265.696,133.2
950.4,265.818,131.2
951.4,265.949,140.6
952.4,266.081,141.2
953.4,266.227,156.4
954.4,266.707,515.0
955.4,267.253,586.7
956.4,267.522,288.0
957.4,267.662,150.2
958.4,267.794,142.6
959.4,267.924,139.1
960.4,268.052,137.5
961.4,268.180,137.8
962.4,268.315,143.9
963.4,268.450,145.6
964.4,268.861,440.8
965.4,269.413,592.6
966.4,269.691,298.2
967.4,269.854,175.4
968.4,269.982,137.8
969.4,270.111,137.6
970.4,270.239,137.2
971.4,270.365,135.7
972.4,270.495,140.0
973.4,270.624,137.8
974.4,270.907,303.8
975.4,271.440,572.5
976.4,271.843,431.6
977.4,272.058,231.6
978.4,272.193,143.9
979.4,272.327,144.0
980.4,272.461,143.5
981.4,272.595,143.9
982.4,272.725,139.6
983.4,272.857,142.0
984.4,273.101,262.1
985.4,273.543,473.8
986.4,273.814,290.6
987.4,274.058,262.9
988.4,274.187,137.6
989.4,274.274,94.1
990.4,274.355,86.8
991.4,274.484,138.3
992.4,274.617,143.3
993.4,274.711,100.4
994.4,274.810,106.3
995.4,275.358,587.9
996.4,275.916,599.7
997.4,276.129,227.7
998.4,276.279,161.0
999.4,276.413,143.9
1000.4,276.546,143.5
1001.4,276.575,31.1
1002.4,276.710,143.9
1003.4,276.840,140.5
1004.4,276.984,153.6
1005.4,277.363,407.0
1006.4,277.911,587.9
1007.4,278.161,269.1
1008.4,278.266,113.0
1009.4,278.348,87.0
1010.4,278.475,137.0
1011.4,278.604,137.9
1012.4,278.639,38.3
1013.4,278.772,142.9
1014.4,278.912,150.2
1015.4,279.361,481.4
1016.4,279.833,506.3
1017.4,280.069,253.1
1018.4,280.221,163.1
1019.4,280.283,66.3
1020.4,280.381,105.1
1021.4,280.505,133.8
1022.4,280.637,141.3
1023.4,280.676,41.3
1024.4,280.812,146.8
1025.4,281.168,381.7
1026.4,281.707,579.2
1027.4,281.960,271.2
1028.4,282.130,182.6
1029.5,282.223,99.4
1030.5,282.298,80.2
1031.5,282.426,137.9
1032.5,282.502,81.8
1033.5,282.589,93.2
1034.5,282.721,141.7
1035.5,282.975,272.9
1036.5,283.503,565.6
1037.5,283.853,376.7
1038.5,284.046,206.6
1039.5,284.174,137.8
1040.5,284.303,137.6
1041.5,284.421,127.1
1042.5,284.543,130.9
1043.5,284.669,135.5
1044.5,284.792,131.9
1045.5,284.944,162.2
1046.5,285.433,524.7
1047.5,285.947,551.7
1048.5,286.204,275.5
1049.5,286.332,137.8
1050.5,286.449,125.2
1051.5,286.582,143.7
1052.5,286.711,137.8
1053.5,286.839,137.8
1054.5,286.972,142.2
1055.5,287.102,139.3
1056.5,287.342,257.9
1057.5,287.877,573.6
1058.5,288.275,427.4
1059.5,288.490,230.7
1060.5,288.618,137.8
1061.5,288.746,137.5
1062.5,288.875,137.6
1063.5,288.997,131.7
1064.5,289.124,136.2
1065.5,289.254,138.9
1066.5,289.393,149.9
1067.5,289.881,523.2
1068.5,290.409,566.2
1069.5,290.664,274.3
1070.5,290.810,156.4
1071.5,290.933,132.3
1072.5,291.067,143.8
1073.5,291.195,137.8
1074.5,291.324,137.6
1075.5,291.452,137.8
1076.5,291.580,137.2
1077.5,291.912,356.8
1078.5,292.442,568.5
1079.5,292.792,375.5
1080.5,292.980,201.6
1081.5,293.112,142.0
